Curriculum,Agricultural Technology Management and Education Leadership and Communication Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101,,,,3,,,1
2,College Algebra,MATH,112,,,,3,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Principles and Practices of Agricultural Mechanization,AGTM,100,,,,3,,,1
6,First Year Composition,ENGL,102,,,,3,,,2
7,General Chemistry,CHEM,151,,,,4,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Solar Photovoltaic Energy Systems with Applications to Agriculture,AGTM,200,,,,3,,,2
11,Second Language,,,,,,4,,,3
12,Tier II General Education,,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,R & MCB 181 L Introductory Biology I Lecture and Laboratory,MCB,181,,,,4,,,3
15,Applications in Agricultural Mechanics,AGTM,350,,,,3,,,3
16,Second Language,,,,,,4,,,4
17,Tier II General Education,,,,,,3,,,4
18,R & ECOL 182L Introductory Biology II Lecture and Laboratory,ECOL,182,,,,4,,,4
19,Turf and Landscape Technology or AGTM 351 Agricultural Power and Machinery,AGTM,330,,,,3,,,4
20,Introduction to Financial Accounting,ACCT,200,,,,3,,,4
21,Introduction to Soil Sciece,ENVS,200,,,,3,,,5
22,Soils Laboratory,ENVS,201,,,,1,,,5
23,Youth Leadership Development,AED,301,,,,3,,,5
24,Entrepreneurial Leadership in Agriculture and the Life Sciences,ALC,410,,,,3,,,5
25,Introduction to Animal Science,ACBS,102R,,,,3,,,5
26,Insect Discovery,ENTO,407,,,,3,,,6
27,Animal Sciece Course - Upper Division,,,,,,3,,,6
28,Basic Economic Issues,ECON,200,,,,3,,,6
29,Principles and Practices of Personal Leadership,ALC,309,,,,3,,,6
30,Plant Science  Course - Upper Division,,,,,,3,,,6
31,Heritage and Traditions of the University of Arizona,AED,295B,,,,2,,,7
32,Social Science Statistics,SBS,200,,,,4,,,7
33,Communicating Knowledge in Agriculture and the Life Sciences,ALC,422,,,,3,,,7
34,Technical Writing,ENGL,307,,,,3,,,7
35,Internship,AGTM,493,,,,3,,,7
36,Team and Organizational Leadership,ALC,409,,,,3,,,8
37,Principles and Applications of Organizational Innovation,ALC,411,,,,5,,,8
38,Plant Science  Course - Upper Division,,,,,,3,,,8
39,Animal Sciece Course - Upper Division,,,,,,3,,,8
40,Methods of Facilitating Learning,AED,437,,,,3,,,8
