Curriculum,Animal Sciences Animal Industry Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,01-0901,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,Tier I General Education,,,,,,3,,,1
3,MATH,,,,,,3,,,1
4,Introduction to Animal Science,ACBS,102R,,,,4,,,1
5,Second Language,,,,,,4,,,1
6,First-Year Composition,ENGL,102,,,,3,,,2
7,Tier I General Education,,,,,,3,,,2
8,Statistics,,,,,,3,,,2
9,Second Language,,,,,,4,,,2
10,COMM,,,,,,3,,,2
11,Emphasis Elective,,,,,,3,,,3
12,Introduction to Chemistry,CHEM,151,,,,4,,,3
13,Basic Economics Issues,ECON,200,,,,3,,,3
14,Introductory Biology II ,ECOL,182R,,,,4,,,3
15,Emphasis Elective,,,,,,3,,,3
16,Tier I General Education,,,,,,3,,,4
17,General Chemistry II,CHEM,152,,,,4,,,4
18,Psycology and Anatomy of Domestic Animals,ACBS,215,,,,3,,,4
19,Emphasis Elective,,,,,,3,,,4
20,Emphasis Elective,,,,,,3,,,4
21,Introduction to Financial Accounting,ACCT,200,,,,3,,,4
22,Tier II General Education,,,,,,3,,,5
23,Agribusiness Economics and Management Syllabus,AREC,315,,,,3,,,5
24,Physiology of Reproduction ,ACBS,315R,,,,4,,,5
25,Intro Biology I and Laboratory Information,MCB,181R,,,,4,,,5
26,Applied Animal Nutrition,ACBS,336A,,,,3,,,5
27,Tier II General Education,,,,,,3,,,6
28,Tier I General Education,,,,,,4,,,6
29,Pathogenic Bacteriology,ACBS,420,,,,3,,,6
30,Human Resource Management,ACBS,446,,,,3,,,6
31,Emphasis Elective,,,,,,3,,,6
32,Financial and Economic Strategy,ACBS,301,,,,3,,,7
33,Plant and Animal Genetics,PLS,312,,,,4,,,7
34, Food Safety and  Microbiology,ACBS,380,,,,3,,,7
35,General Microbiology,MIC,205A,,,,3,,,7
36,Legal Environment of Business,ACBS,447,,,,3,,,7
37,Human Resource Management,ACBS,446,,,,4,,,8
38,Professional Development in Animal Agriculture,ACBS,395A,,,,1,,,8
39,Principles of Livestock Health Management,ACBS,405,,,,3,,,8
40,Beef Resource Management,ACBS,477,,,,3,,,8
41,Tier II General Education,,,,,,3,,,8
