Curriculum,Sustainable Built Environments Sustainable Real Estate Development Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Intro. To Sustainability,SBE,195A,,,,1,,,1
2,First-Year Composition,ENGL,101,,,,3,,,1
3,College Algebra,MATH,112,,,,3,,,1
4,Second Semester Second Language,,,,,,4,,,1
5,Tier I General Education,,,,,,3,,,1
6,Careers in Sustainability,SBE,195B,,,,1,,,2
7,First-Year Composition,ENGL,102,,,,3,,,2
8,Intro. Biology 2 Lecture,ECOL,182R,,,,3,,,2
9,Intro. Biology 2 Lab,ECOL,182L,,,,1,,,2
10,Tier I General Education,,,,,,3,,,2
11,Tier I General Education,,,,,,3,,,2
12,Tier I General Education,,,,,,3,,,2
13,Sustainable Design & Planning,SBE,201,,,,3,,,3
14,History of Built Environment 1,SBE,221,,,,3,,,3
15,Intro. To Statistics,SBS,200,,,,4,,,3
16,Environmental Studies: Ideas/Institutions,EVS,260,,,,3,,,3
17,Basic Economics,ECON,200,,,,3,,,3
18,Professional Communication,SBE,202,,,,3,,,4
19,History of Built Environment 2,SBE,222,,,,3,,,4
20,Water & Energy: Con. & Alt Systems,CHEE,204,,,,3,,,4
21,Intro. Physics 1 Lecture,PHYS,102,,,,3,,,4
22,Intro. Physics 1 Lab,PHYS,181,,,,1,,,4
23,Tier II General Education,,,,,,3,,,4
24,Geo. Info. Systems,RNR,417,,,,3,,,5
25,Tier II General Education,,,,,,3,,,5
26,Tier II General Education,,,,,,3,,,5
27,Survey of Responsible Real Estate,RED,410,,,,3,,,5
28,Construction & Project Management,RED,415,,,,3,,,5
29,Intro. To Design Thinking,SBE,301,,,,4,,,6
30,Population Geography,GEOG,367,,,,3,,,6
31,Environmental Ethics,PHIL,323,,,,3,,,6
32,Research Methods,SBE,380,,,,3,,,6
33,Intro. to Real Estate Finance,RED,401,,,,3,,,6
34,Professional Internship,SBE,393,,,,3,,,7
35,History & Theory of Architecture 4,ARC,471S,,,,3,,,7
36,Senior Capstone,SBE,498,,,,3,,,7
37,Due Diligence and Entitlements,RED,409,,,,3,,,7
38,Placemaking and Urban Form,RED,421,,,,3,,,7
39,Senior Capstone,SBE,498,,,,3,,,8
40,Land Development Process,RED,476,,,,3,,,8
41,Upper-Division Elective,,,,,,3,,,8
42,Elective,,,,,,3,,,8
