Curriculum,Performance Percussion Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BM,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,50-0916,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,MATH,,,,,,3,,,1
3,Large Ensemble,MUS,200,,,,1,,,1
4,Individual Studies,MUSI,185,,,,4,,,1
5,Piano Class,MUS,110A,,,,1,,,1
6,Musical Skills and Structure I,MUS,120A,,,,3,,,1
7,Introduction to Music Literature,MUS,130A,,,,2,,,1
8,First-Year Composition,ENGL,102,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Individual Studies,MUSI,185,,,,4,,,2
11,Piano Class,MUS,110B,,,,1,,,2
12,Musical Skills and Structure I,MUS,120B,,,,3,,,2
13,Large Ensemble,MUS,200,,,,1,,,2
14,Introduction to Music Literature,MUS,130B,,,,2,,,2
15,Tier I General Education,,,,,,3,,,3
16,Piano Class,MUS,210A,,,,1,,,3
17,Musical Skills and Structure II,MUS,220A,,,,3,,,3
18,Coached Ensemble,MUS,201,,,,1,,,3
19,Individual Studies,MUSI,285,,,,4,,,3
20,Large Ensemble,MUS,200,,,,1,,,3
21,Second Language,,,,,,4,,,3
22,Tier I General Education,,,,,,3,,,4
23,Musical Skills and Structure II,MUS,220B,,,,3,,,4
24,Large Ensemble,MUS,200,,,,1,,,4
25,Individual Studies,MUSI,285,,,,4,,,4
26,Coached Ensemble,MUS,201,,,,1,,,4
27,Piano Class,MUS,210B,,,,1,,,4
28,Second Language,,,,,,4,,,4
29,History of Western Music,MUS,330A,,,,3,,,5
30,Coached Ensemble,MUS,401,,,,1,,,5
31,Large Ensemble,MUS,400,,,,1,,,5
32,Introduction to Conducting,MUS,370,,,,2,,,5
33,Tier I General Education,,,,,,3,,,5
34,Individual Studies,MUSI,385,,,,4,,,5
35,Careers in Music,MUS,427A,,,,2,,,5
36,History of Western Music,MUS,330B,,,,3,,,6
37,Individual Studies,MUSI,385,,,,4,,,6
38,Large Ensemble,MUS,400,,,,1,,,6
39,Coached Ensemble,MUS,401,,,,1,,,6
40,Tier I General Education,,,,,,3,,,6
41,Tier I General Education,,,,,,3,,,6
42,Careers in Music,MUS,427B,,,,2,,,6
43,Tier II General Education,,,,,,3,,,7
44,Tier II General Education,,,,,,3,,,7
45,Pedagogy,MUS,410A,,,,2,,,7
46,Coached Ensemble,MUS,401,,,,1,,,7
47,Individual Studies,MUSI,485,,,,4,,,7
48,Large Ensemble,MUS,400,,,,1,,,7
49,Music Elective,,,,,,3,,,7
50,Tier II General Education,,,,,,3,,,8
51,Music Elective,,,,,,2,,,8
52,Senior Capstone: Recital,MUS,498,,,,1,,,8
53,Orchestration,MUS,421,,,,3,,,8
54,Individual Studies,MUSI,485,,,,4,,,8
55,Coached Ensemble,MUS,401,,,,1,,,8
56,Large Ensemble,MUS,400,,,,1,,,8
