Curriculum,East Asian Studies Japanese Culture Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,05-0127,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101,,,,3,,,1
2,Elementary Japanese,JPN,101,,,,5,,,1
3,MATH,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,First Year Composition,ENGL,102,,,,3,,,2
6,Elementary Japanese,JPN,102,,,,5,,,2
7,Tier I General Education,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Intermediate Japanese,JPN,201,,,,5,,,3
10,Tier I General Education,,,,,,3,,,3
11,Tier I General Education,,,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,General Elective,,,,,,3,,,3
14,Intermediate Japanese,JPN,202,,,,5,,,4
15,Japanese Elective,,,,,,3,,,4
16,Tier II General Education,,,,,,3,,,4
17,Tier II General Education,,,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,Upper Division Japanese Elective,,,,,,3,,,5
20,Upper Division Japanese Elective,,,,,,3,,,5
21,Japanese Elective,,,,,,3,,,5
22,General Elective,,,,,,3,,,5
23,Minor Course,,,,,,3,,,5
24,Upper Division Japanese Elective,,,,,,3,,,6
25,Upper Division Japanese Elective,,,,,,3,,,6
26,Minor Course,,,,,,3,,,6
27,Minor Course,,,,,,3,,,6
28,Upper Division General Elective,,,,,,3,,,6
29,Upper Division Japanese Elective,,,,,,3,,,7
30,Upper Division Japanese Elective,,,,,,3,,,7
31,Upper Division Minor Course,,,,,,3,,,7
32,Upper Division Minor Course,,,,,,3,,,7
33,Upper Division Minor Course,,,,,,3,,,7
34,Capstone,EAS,498,,,,1,,,8
35,400-level Japanese Course,,,,,,3,,,8
36,400-level Japanese Course,,,,,,3,,,8
37,Upper Division General Elective,,,,,,3,,,8
38,Upper Division Japanese Elective,,,,,,3,,,8
