Curriculum,Italian Language and Literature Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,05-0126,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101,,,,3,,,1
2,Elementary Italian I,ITAL,101,,,,4,,,1
3,MATH,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,First Year Composition,ENGL,102,,,,3,,,2
6,Elementary Italian II,ITAL,102,,,,4,,,2
7,Tier I General Education,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,General Elective,,,,,,3,,,2
10,Intermediate Italian I,ITAL,201,,,,4,,,3
11,Tier I General Education,,,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,General Elective,,,,,,3,,,3
15,Intermediate Italian II,ITAL,202,,,,4,,,4
16,Tier II General Education,,,,,,3,,,4
17,Tier II General Education,,,,,,3,,,4
18,Tier II General Education,,,,,,3,,,4
19,General Elective,,,,,,3,,,4
20,Advanced Italian Conversation,ITAL,301,,,,3,,,5
21,Advanced Italian Composition,ITAL,302,,,,3,,,5
22,General Elective,,,,,,3,,,5
23,Upper Division General Elective,,,,,,3,,,5
24,Minor Course,,,,,,3,,,5
25,Spoken Italian in Cultural Context,ITAL,310,,,,3,,,6
26,Written Italian in Cultural Context,ITAL,320,,,,3,,,6
27,Minor Course,,,,,,3,,,6
28,Minor Course,,,,,,3,,,6
29,Upper Division General Elective,,,,,,3,,,6
30,Italian Fiction/Film,ITAL,410,,,,3,,,7
31,Italian Civilization,ITAL,420,,,,3,,,7
32,Upper Division Minor Course,,,,,,3,,,7
33,Upper Division Minor Course,,,,,,3,,,7
34,Upper Division General Elective,,,,,,3,,,7
35,Italian Language and Literature,,,,,,3,,,8
36,Italian Language and Literature,,,,,,3,,,8
37,Upper Division Minor Course,,,,,,3,,,8
38,Upper Division General Elective,,,,,,3,,,8
39,Upper Division General Elective,,,,,,3,,,8
