Curriculum,English
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL,101,,,,3,,,1
2,First Semester Second Language,,,,,,4,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,First Year Composition,ENGL,102,,,,3,,,2
7,Second Semester Second Language,,,,,,4,,,2
8,Math,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier I General Education,,,,,,3,,,2
11,Third Semester Second Language,,,,,,4,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier II General Education,,,,,,3,,,3
14,Tier II General Education,,,,,,3,,,3
15,Minor Course,,,,,,3,,,3
16,Fourth Semester Language Course,,,,,,4,,,4
17,Tier II General Education,,,,,,3,,,4
18,Introduction to Literature,ENGL,280,,,,3,,,4
19,Minor Course,,,,,,3,,,4
20,Minor Course,,,,,,3,,,4
21,Literary Analysis,ENGL,380,,,,3,,,5
22,Beowulf to 1610,ENGL,373A,,,,3,,,5
23,ENGL Language Emphasis Course,ENGL,,,,,3,,,5
24,Minor Course,,,,,,3,,,5
25,Minor Course,,,,,,3,,,5
26,Restoration to 19th Century,ENGL,373B,,,,3,,,6
27,Junior Proseminar,ENGL,396A,,,,3,,,6
28,ENGL Upper or Lower Division Elective,ENGL,,,,,3,,,6
29,ENGL Upper or Lower Division Elective,ENGL,,,,,3,,,6
30,Minor Course,,,,,,3,,,6
31,or 431B Shakespeare,ENGL,431A,,,,3,,,7
32,ENGL Upper Division Elective,ENGL,,,,,3,,,7
33,ENGL Upper Division Elective,ENGL,,,,,3,,,7
34,General Elective,,,,,,3,,,7
35,General Elective,,,,,,3,,,7
36,Senior Proseminar,ENGL,496A,,,,3,,,8
37,ENGL Upper Division Elective,ENGL,,,,,3,,,8
38,General Elective,,,,,,3,,,8
39,General Elective,,,,,,3,,,8
