Curriculum,Journalism Global Journalism Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,,JOUR,105,,,,3,,,1
3,Math,,,,,,3,,,1
4,Second Language,,,,,,4,,,1
5,Tier I General Education,,,,,,3,,,1
6,First-Year Composition,ENGL,102,,,,3,,,2
7,Tier I General Education,,,,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Second Language,,,,,,4,,,2
11,,JOUR,203,,,,3,,,3
12,,JOUR,205,,,,3,,,3
13,,JOUR,208,,,,3,,,3
14,Second Language,,,,,,4,,,3
15,Tier I General Education,,,,,,3,,,3
16,,JOUR,306,,,,3,,,4
17,,JOUR,307,,,,3,,,4
18,,JOUR,320,,,,3,,,4
19,Second Language,,,,,,4,,,4
20,Tier I General Education,,,,,,3,,,4
21,,JOUR,313,,,,3,,,5
22,,JOUR,439,,,,3,,,5
23,Tier II General Education,,,,,,3,,,5
24,Minor,,,,,,3,,,5
25,Minor,,,,,,3,,,5
26,,JOUR,411,,,,3,,,6
27,JOUR Global Elective,JOUR,,,,,3,,,6
28,Tier II General Education,,,,,,3,,,6
29,Tier II General Education,,,,,,3,,,6
30,Minor,,,,,,3,,,6
31,,JOUR,490,,,,3,,,7
32,JOUR Global Elective,JOUR,,,,,3,,,7
33,Minor,,,,,,3,,,7
34,Minor,,,,,,3,,,7
35,Elective,,,,,,3,,,7
36,Minor,,,,,,3,,,8
37,Elective,,,,,,3,,,8
38,Elective,,,,,,3,,,8
39,Elective,,,,,,3,,,8
